playerid,name,mlb,pos,vpos,age,pts,par,base_value,league_value,salary,surplus,arb,keeper_salary,keeper_surplus,keeper_npv,cut_gain,owner
25816,Shea Langeliers,ATH,C,C,28,630.4,98.0,11,,7.0,4.0,1,10.0,1.0,0.1,-8.0,Peel A Section
19522,TJ Friedl,CIN,OF,OF,30,572.3,100.5,11,,,,,,,,,FA
19918,Daulton Varsho,HOU,OF,OF,29,566.5,94.7,11,,4.0,7.0,2,8.0,3.0,1.0,-9.0,Providence Grays
25377,Brady Singer,CIN,SP,SP,29,650.7,94.8,11,,6.0,5.0,1,9.0,2.0,0.0,-8.0,The Northsiders
26221,Ryan Pepiot,TBR,SP,SP,28,658.2,102.1,11,,6.0,5.0,1,9.0,2.0,0.0,-8.0,Iron 
20423,Ryan Walker,SFG,RP,RP,30,479.4,101.6,11,,,,,,,,,FA
27914,Daniel Palencia,CHC,RP,RP,26,481.2,103.1,11,,7.0,4.0,1,10.0,1.0,0.0,-8.0,Seiya Prayer For My Team
33321,Luke Keaschall,MIN,2B/OF,OF,23,562.7,90.9,10,,5.0,5.0,1,8.0,2.0,1.0,-8.0,Seiya Prayer For My Team
24262,Ceddanne Rafaela,BOS,2B/OF,OF,25,562.4,90.6,10,,4.0,6.0,1,7.0,3.0,1.6,-8.0,Bloom's Onions
16556,Ozzie Albies,ATL,2B,2B,29,623.6,87.3,10,,10.0,0.0,0,12.0,-2.0,0.0,-5.0,Sweet Spot
22542,Lawrence Butler,ATH,OF,OF,25,561.9,90.1,10,,9.0,1.0,0,11.0,-1.0,0.0,-6.0,Iron 
20220,Jo Adell,CLE,OF,OF,27,558.6,86.8,10,,4.0,6.0,1,7.0,3.0,1.1,-8.0,Twin Pines 🌲🌲
26378,Nick Lodolo,CIN,SP,SP,28,642.5,86.8,10,,10.0,0.0,0,12.0,-2.0,0.0,-5.0,Peel A Section
33703,Nolan McLean,NYM,SP,SP,24,645.9,90.1,10,,3.0,7.0,2,7.0,3.0,0.0,-9.0,Chin Music Choir
27468,Reid Detmers,LAA,SP,SP,26,642.2,86.5,10,,2.0,8.0,2,6.0,4.0,0.9,-9.0,Rock the Casasbah
16400,Reynaldo López,ATL,SP,SP,32,646.7,90.9,10,,,,,,,,,FA
17432,Jeff Hoffman,MIN,RP,RP,33,469.5,93.8,10,,2.0,8.0,2,6.0,4.0,1.1,-9.0,Providence Grays
18138,Ryan Helsley,BAL,RP,RP,31,460.1,86.3,10,,4.0,6.0,1,7.0,3.0,0.3,-8.0,Sweet Spot
17130,Raisel Iglesias,ATL,RP,RP,36,459.0,85.4,10,,9.0,1.0,0,11.0,-1.0,0.0,-6.0,Barreled Souls
31539,Drake Baldwin,ATL,C,C,25,606.1,77.3,9,,4.0,5.0,1,7.0,2.0,0.8,-7.0,Sweet Spot
29576,Ben Rice,NYY,C/1B,C,27,602.5,74.2,9,,5.0,4.0,1,8.0,1.0,0.0,-7.0,Barreled Souls
20599,Iván Herrera,STL,C,C,26,613.0,83.2,9,,7.0,2.0,0,9.0,0.0,0.0,-6.0,Chin Music Choir
26319,Michael Busch,CHC,1B,1B,28,648.1,78.1,9,,8.0,1.0,0,10.0,-1.0,0.0,-5.0,Twin Pines 🌲🌲
23772,Wilyer Abreu,BOS,OF,OF,27,547.9,76.1,9,,8.0,1.0,0,10.0,-1.0,0.0,-5.0,Chin Music Choir
17338,Willi Castro,COL,1B/2B/SS/3B/OF,OF,29,552.3,80.5,9,,3.0,6.0,1,6.0,3.0,1.3,-8.0,Rock the Casasbah
19287,Adolis García,PHI,OF,OF,33,550.0,78.2,9,,,,,,,,,FA
12970,Joe Musgrove,SDP,SP,SP,33,632.6,77.1,9,,5.0,4.0,1,8.0,1.0,0.0,-7.0,Seiya Prayer For My Team
27782,Brandon Pfaadt,ARI,SP,SP,27,634.7,79.2,9,,3.0,6.0,1,6.0,3.0,0.6,-8.0,The Northsiders
19716,Dustin May,MIL,SP,SP,28,632.8,77.3,9,,6.0,3.0,1,9.0,0.0,0.0,-6.0,Iron 
15130,Drew Anderson,DET,RP,RP,32,452.1,80.0,9,,3.0,6.0,1,6.0,3.0,0.5,-8.0,Bloom's Onions
31972,Brad Lord,WSN,RP,RP,26,453.5,81.1,9,,,,,,,,,FA
18564,Trent Grisham,NYY,OF,OF,29,537.2,65.4,8,,4.0,4.0,1,7.0,1.0,0.1,-6.0,Bloom's Onions
18036,Jake Cronenworth,SDP,1B/2B,2B,32,605.0,68.7,8,,,,,,,,,FA
15362,Jeff McNeil,ATH,2B/OF,OF,34,537.5,65.7,8,,,,,,,,,FA
27465,Spencer Torkelson,DET,1B,1B,26,639.2,69.2,8,,3.0,5.0,1,6.0,2.0,0.8,-7.0,Chin Music Choir
10324,Marcell Ozuna,,OF,OF,35,545.8,74.0,8,,,,,,,,,FA
13543,Blake Snell,LAD,SP,SP,33,619.9,64.7,8,,22.0,-14.0,0,24.0,-16.0,0.0,3.0,The Northsiders
21455,Kris Bubic,LAD,SP,SP,28,624.4,69.1,8,,9.0,-1.0,0,11.0,-3.0,0.0,-4.0,Barreled Souls
27473,Cade Cavalli,WSN,SP,SP,27,620.9,65.7,8,,9.0,-1.0,0,11.0,-3.0,0.0,-4.0,Barreled Souls
13649,Clay Holmes,CHC,SP,SP,33,619.8,64.6,8,,4.0,4.0,1,7.0,1.0,0.0,-6.0,The Northsiders
26253,Ryne Nelson,ARI,SP,SP,28,620.6,65.4,8,,,,,,,,,FA
22210,Jeremiah Estrada,SDP,RP,RP,27,432.8,64.6,8,,,,,,,,,FA
16609,Bryan Abreu,HOU,RP,RP,29,441.9,71.9,8,,3.0,5.0,1,6.0,2.0,0.3,-7.0,Iron 
17998,Pete Fairbanks,MIA,RP,RP,32,438.3,69.0,8,,,,,,,,,FA
19612,Bo Bichette,NYM,SS/3B,SS,28,622.6,61.6,7,,21.0,-14.0,0,23.0,-16.0,0.0,3.0,Providence Grays
19197,Will Smith,LAD,C,C,31,588.6,62.4,7,,9.0,-2.0,0,11.0,-4.0,0.0,-3.0,Bloom's Onions
29715,Hunter Goodman,COL,C,C,26,590.4,63.9,7,,3.0,4.0,1,6.0,1.0,0.5,-6.0,The Northsiders
35456,Trey Yesavage,TOR,SP,SP,22,614.0,59.0,7,,6.0,1.0,0,8.0,-1.0,0.0,-4.0,Chin Music Choir
21690,Edward Cabrera,CHC,SP,SP,28,618.5,63.4,7,,4.0,3.0,1,7.0,0.0,0.0,-5.0,Sweet Spot
29868,Bubba Chandler,PIT,SP,SP,23,616.7,61.6,7,,5.0,2.0,0,7.0,0.0,0.0,-5.0,Seiya Prayer For My Team
22264,Shane Baz,BAL,SP,SP,27,612.9,57.9,7,,11.0,-4.0,0,13.0,-6.0,0.0,-2.0,Sweet Spot
31687,Shane Smith,CHW,SP,SP,26,609.8,54.9,7,,,,,,,,,FA
23335,Joey Cantillo,CLE,SP,SP,26,618.5,63.4,7,,5.0,2.0,0,7.0,0.0,0.0,-5.0,Sweet Spot
17897,Garrett Cleavinger,TBR,RP,RP,32,431.3,63.4,7,,3.0,4.0,1,6.0,1.0,0.0,-6.0,The Northsiders
20191,Garrett Whitlock,BOS,RP,RP,30,421.1,55.3,7,,4.0,3.0,1,7.0,0.0,0.0,-5.0,Iron 
17722,Trevor Megill,MIL,RP,RP,32,429.2,61.8,7,,5.0,2.0,0,7.0,0.0,0.0,-5.0,Rock the Casasbah
24017,José A. Ferrer,SEA,RP,RP,26,423.4,57.2,7,,,,,,,,,FA
23363,Robert Garcia,TEX,RP,RP,30,428.3,61.1,7,,,,,,,,,FA
14771,Emilio Pagán,CIN,RP,RP,35,421.7,55.8,7,,3.0,4.0,1,6.0,1.0,0.0,-6.0,Sweet Spot
